ParticipantCode,p1,p2,s1,s2,a1,a2,r1,r2,m1,m2,d1,d2,i1b,f1b,i2b,i3b,f2b,f3b,f4b,i4b,f5b,e1b,b1b,b2b,e2b,b3b,b4b,n1b,e3b,e4b,e5b,n2b,n3b,e6b,b5b,b6b,n4b,n5b,i1f,f1f,i2f,i3f,f2f,f3f,f4f,i4f,f5f,e1f,b1f,b2f,e2f,b3f,b4f,n1f,e3f,e4f,e5f,n2f,n3f,e6f,b5f,b6f,n4f,n5f
1a,7,5,4,2,6,7,7,7,5,7,3,2,1,5,1,4,5,5,5,4,4,1,5,5,1,5,5,1,4,1,1,1,1,1,5,5,5,5,2,5,1,1,5,5,5,5,5,4,5,5,4,5,5,2,4,4,2,5,1,4,5,5,5,5
1b,5,6,5,6,7,7,7,7,4,6,2,2,4,5,1,2,5,5,5,4,5,2,1,4,2,1,5,1,4,1,4,4,4,1,4,1,4,5,4,5,1,1,4,5,5,5,5,5,5,2,3,2,4,2,5,4,5,4,4,4,5,5,4,5
2a,6,6,7,7,6,5,4,4,5,4,2,2,2,4,2,1,3,2,4,5,2,1,4,2,1,1,4,2,4,2,1,3,4,2,4,2,1,5,2,4,2,1,2,4,4,4,3,4,4,4,4,4,4,1,5,1,1,1,2,3,4,4,3,3
2b,5,5,5,5,6,4,2,3,4,6,4,2,2,5,2,1,2,3,4,4,2,2,4,3,2,3,4,1,2,1,1,1,4,1,4,3,2,1,1,5,2,1,2,4,4,4,2,4,5,5,4,4,4,1,5,2,2,4,4,3,4,4,1,1
3a,6,6,5,5,7,7,6,5,6,5,3,4,2,4,1,1,3,2,3,4,3,1,5,3,1,2,4,3,2,1,1,1,1,2,5,2,3,2,1,5,1,2,5,4,5,4,5,3,5,5,4,4,4,3,5,3,3,3,2,4,4,2,2,4
3b,6,7,6,5,5,5,5,5,4,5,5,4,1,4,4,1,2,2,4,3,3,2,3,2,3,1,3,4,3,1,1,2,3,3,3,2,4,5,1,5,2,1,4,4,5,4,4,4,4,4,4,4,4,3,4,3,4,3,3,4,4,4,3,5
4a,7,7,6,6,5,6,5,5,6,6,4,5,3,5,1,1,2,2,5,3,2,2,5,4,2,3,5,3,5,1,1,1,1,3,5,4,5,5,2,5,1,1,4,5,5,5,4,5,5,5,5,5,5,2,5,4,4,4,4,5,5,5,3,2
4b,6,5,5,5,6,7,6,5,6,6,4,5,4,5,2,2,2,4,5,4,3,1,2,2,1,2,4,3,4,1,1,1,1,3,3,2,4,5,4,5,2,1,4,4,5,4,2,3,4,3,3,3,3,3,4,2,2,3,3,4,4,3,4,3
 5a,7,7,5,4,6,7,6,6,7,7,5,4,1,5,3,2,4,4,4,2,4,1,4,2,1,1,4,1,2,1,1,1,1,1,4,1,4,5,1,5,1,3,4,4,4,3,4,4,4,3,3,2,4,1,4,1,2,2,2,1,4,4,2,5
5b,7,7,7,7,6,4,5,6,2,2,4,4,1,3,5,2,2,2,2,1,1,2,3,2,1,2,4,3,2,4,2,3,3,1,4,4,3,1,5,5,2,1,5,1,5,5,4,5,1,3,4,5,5,1,4,3,4,3,4,3,1,5,1,1
6a,7,7,7,6,5,6,6,7,4,5,3,3,2,5,2,3,4,3,5,4,3,1,4,3,3,2,5,5,4,1,1,1,2,4,4,3,5,2,2,5,3,5,4,2,4,2,4,5,5,4,4,5,5,1,5,4,4,4,5,4,5,4,1,4
6b,7,6,5,6,7,7,7,3,5,5,3,1,4,5,1,1,2,4,5,3,3,1,3,3,1,2,4,3,1,1,1,1,1,2,2,3,4,4,3,5,1,1,5,4,5,4,3,2,2,4,3,4,4,3,4,1,1,4,2,1,3,3,5,5
7a,7,7,5,5,7,7,7,6,7,7,5,1,1,5,1,4,4,4,5,3,3,1,4,4,4,3,5,2,4,1,1,1,1,1,3,3,3,3,1,5,4,4,4,5,5,2,3,4,3,3,4,4,5,2,4,2,2,3,3,2,2,2,4,4
7b,7,7,6,6,5,7,3,4,5,3,3,2,1,4,2,1,2,2,4,1,2,1,1,2,1,4,4,1,1,1,1,1,1,1,2,2,1,1,1,5,2,1,3,3,4,4,2,1,5,4,4,4,5,1,5,1,1,1,1,2,4,5,2,3
8a,6,6,5,4,6,5,3,4,5,6,2,2,2,4,1,1,4,4,4,3,3,1,4,3,1,1,3,1,1,1,1,1,1,1,4,4,4,4,1,5,1,1,2,4,5,3,4,3,4,4,2,4,4,1,3,1,3,3,2,4,4,4,3,3
8b,7,7,6,5,5,6,5,5,6,6,1,1,3,5,4,2,4,5,5,2,5,2,4,3,1,2,5,3,1,1,1,5,5,2,4,4,5,4,3,5,2,1,5,5,5,4,4,5,5,5,5,5,5,1,5,3,4,3,3,3,5,4,1,3
9a,5,5,4,4,6,6,4,4,6,7,2,2,1,5,1,1,2,2,5,3,2,1,5,1,1,1,5,1,3,1,1,1,1,1,4,2,3,3,1,4,2,1,3,4,5,3,3,3,5,3,3,2,5,1,4,3,3,2,1,1,5,2,2,4
9b,6,6,5,4,7,6,5,3,7,7,5,5,2,5,4,2,3,5,5,2,4,1,5,3,2,3,5,1,3,1,1,2,2,4,5,4,4,3,2,5,5,4,5,5,4,2,4,4,5,5,4,5,4,4,3,4,5,4,3,4,4,5,4,4
10a,5,6,6,7,5,5,7,6,5,3,1,2,2,4,1,1,2,2,4,3,2,1,3,4,1,3,2,1,3,1,1,1,1,1,2,2,3,4,3,5,1,1,3,3,5,4,3,4,2,3,4,4,4,1,4,2,3,3,2,4,4,4,2,3
10b,6,5,5,5,7,7,6,6,7,7,2,3,1,5,1,1,3,4,5,5,4,1,1,1,1,1,4,1,1,1,2,1,1,4,1,1,4,5,1,5,1,1,4,4,5,5,4,4,1,1,4,2,4,1,5,3,4,3,3,4,5,2,4,5
11a,7,6,6,5,5,6,6,6,4,6,4,3,4,5,1,1,4,3,4,2,4,1,3,2,1,1,3,1,2,1,1,1,1,1,2,2,3,3,4,5,1,1,5,4,5,3,4,3,3,3,4,3,3,2,4,1,1,4,2,2,2,3,4,5
11b,6,6,6,5,5,6,5,6,4,5,2,3,1,5,1,1,5,1,5,3,4,1,5,3,1,3,4,1,1,1,1,1,1,1,2,2,3,3,1,5,1,3,5,1,5,4,5,4,5,3,5,4,5,5,5,1,1,4,4,2,4,4,5,3
12a,7,6,6,6,6,7,2,3,2,3,2,2,2,4,3,1,2,1,3,3,1,2,3,4,2,2,3,3,2,1,1,1,1,1,2,1,4,5,2,4,2,1,2,2,3,4,2,4,4,4,4,4,4,1,4,2,3,5,5,3,4,4,1,2
12b,7,7,3,3,4,7,6,6,4,6,4,4,1,4,1,1,2,2,2,1,2,1,5,5,1,5,5,1,1,1,1,1,1,1,5,5,5,5,1,4,1,1,4,2,4,1,1,1,5,5,1,5,5,1,1,1,1,5,1,1,5,5,5,5
13a,7,7,4,5,3,6,5,3,7,7,4,4,1,4,3,1,2,5,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,4,1,1,2,4,4,4,4,3,3,2,4,3,1,1,4,3,3,4,3,1,5,5,3,3
13b,5,6,3,5,2,6,6,6,7,7,3,5,5,5,1,1,4,1,5,3,3,1,5,1,1,1,5,5,5,1,1,1,1,1,4,1,5,4,5,5,1,1,2,2,5,5,4,3,5,4,5,4,5,5,5,1,1,3,4,4,4,4,5,5
14a,5,6,5,5,6,6,5,6,6,6,2,2,1,3,2,2,3,2,3,2,3,1,3,3,1,2,4,2,1,1,1,1,1,3,3,2,4,5,1,4,1,3,4,3,4,3,2,4,4,4,4,4,4,3,4,3,3,4,2,4,5,4,4,3
14b,7,7,6,6,5,6,5,7,6,6,2,2,1,5,1,1,4,5,5,5,1,1,5,3,2,2,3,1,3,1,1,2,2,2,4,3,4,2,2,5,2,1,5,5,5,5,1,3,5,4,4,4,5,3,4,3,3,5,5,5,5,5,2,2
